date,NO2,O3,PM10,PM25,site_code
2020-03-22,,,16.650000000000002,9.883333333333333,KF1
2020-03-23,,,20.941666666666674,11.612500000000002,KF1
2020-03-24,,,19.279166666666665,12.745833333333332,KF1
2020-03-25,,,30.658333333333335,21.06666666666667,KF1
2020-03-26,,,37.74166666666668,27.65833333333333,KF1
2020-03-27,,,39.012499999999996,28.52083333333334,KF1
2020-03-28,,,21.191666666666674,13.883333333333333,KF1
2020-03-29,,,13.195833333333328,5.916666666666665,KF1
2020-03-30,,,9.541666666666666,5.091666666666667,KF1
2020-03-31,,,12.912500000000001,6.883333333333334,KF1
2020-04-01,,,12.591666666666663,7.733333333333333,KF1
2020-04-02,,,8.416666666666666,5.079166666666667,KF1
2020-04-03,,,12.020833333333334,7.279166666666666,KF1
2020-04-04,,,13.195833333333333,10.120833333333332,KF1
2020-04-05,,,13.816666666666668,9.258333333333335,KF1
2020-04-06,,,9.945833333333335,5.866666666666666,KF1
2020-04-07,,,18.629166666666663,11.420833333333334,KF1
2020-04-08,,,45.51666666666666,33.64166666666666,KF1
2020-04-09,,,50.20416666666666,40.12083333333333,KF1
2020-04-10,,,36.39166666666666,27.454166666666662,KF1
2020-04-11,,,27.020833333333332,19.270833333333336,KF1
2020-04-12,,,25.191666666666663,18.825,KF1
2020-04-13,,,14.24583333333333,7.445833333333332,KF1
2020-04-14,,,13.175000000000002,7.483333333333333,KF1
2020-04-15,,,25.350000000000005,16.9875,KF1
2020-04-16,,,46.50000000000001,33.51666666666666,KF1
2020-04-17,,,16.791666666666664,9.554166666666667,KF1
2020-04-18,,,20.425,13.579166666666666,KF1
2020-04-19,,,16.1375,9.25,KF1
2020-04-20,,,21.008333333333333,8.820833333333335,KF1
2020-01-20,75.28750000000001,,45.666666666666664,,KT4
2020-01-21,78.09166666666665,,40.833333333333336,,KT4
2020-01-22,65.64999999999999,,41.25,,KT4
2020-01-23,53.49583333333334,,22.208333333333332,,KT4
2020-01-24,53.941666666666684,,23.791666666666668,,KT4
2020-01-25,43.987500000000004,,30.208333333333332,,KT4
2020-01-26,26.09166666666667,,25.333333333333332,,KT4
2020-01-27,44.100000000000016,,16.291666666666668,,KT4
2020-01-28,34.77916666666667,,13.916666666666666,,KT4
2020-01-29,35.07083333333333,,24.75,,KT4
2020-01-30,34.52083333333333,,19.5,,KT4
2020-01-31,26.441666666666666,,8.791666666666666,,KT4
2020-02-01,23.529166666666665,,21.125,,KT4
2020-02-02,22.687500000000004,,30.791666666666668,,KT4
2020-02-03,30.912499999999998,,25.75,,KT4
2020-02-04,30.720833333333335,,21.083333333333332,,KT4
2020-02-05,63.25416666666667,,42.666666666666664,,KT4
2020-02-06,66.65833333333332,,38.125,,KT4
2020-02-07,45.36249999999999,,39.541666666666664,,KT4
2020-02-08,29.7375,,25.208333333333332,,KT4
2020-02-09,8.783333333333333,,17.583333333333332,,KT4
2020-02-10,22.17083333333333,,16.166666666666668,,KT4
2020-02-11,25.404166666666665,,22.583333333333332,,KT4
2020-02-12,38.1625,,19.869565217391305,,KT4
2020-02-13,38.45000000000001,,13.625,,KT4
2020-02-14,44.137499999999996,,29.083333333333332,,KT4
2020-02-15,11.908333333333333,,10.166666666666666,,KT4
2020-02-16,16.366666666666664,,7.958333333333333,,KT4
2020-02-17,25.450000000000003,,19.75,,KT4
2020-02-18,28.325000000000003,,18.583333333333332,,KT4
2020-02-19,35.779166666666676,,19.291666666666668,,KT4
2020-02-20,27.408333333333335,,10.916666666666666,,KT4
2020-02-21,28.416666666666668,,23.791666666666668,,KT4
2020-02-22,18.691666666666663,,23.875,,KT4
2020-02-23,25.833333333333332,,14.708333333333334,,KT4
2020-02-24,22.712500000000002,,11.958333333333334,,KT4
2020-02-25,32.479166666666664,,14.125,,KT4
2020-02-26,37.69565217391303,,22.708333333333332,,KT4
2020-02-27,40.137499999999996,,16.25,,KT4
2020-02-28,38.975,,17.166666666666668,,KT4
2020-02-29,21.979166666666668,,20.375,,KT4
2020-03-01,25.32916666666667,,14.916666666666666,,KT4
2020-03-02,38.69166666666667,,15.541666666666666,,KT4
2020-03-03,46.75833333333333,,23.458333333333332,,KT4
2020-03-04,57.25833333333333,,22.416666666666668,,KT4
2020-03-05,26.120833333333334,,17.083333333333332,,KT4
2020-03-06,56.20416666666666,,34.125,,KT4
2020-03-07,34.291666666666664,,28.708333333333332,,KT4
2020-03-08,20.987500000000004,,17.333333333333332,,KT4
2020-03-09,29.329166666666662,,20.708333333333332,,KT4
2020-03-10,20.5875,,9.416666666666666,,KT4
2020-03-11,25.60434782608696,,13.208333333333334,,KT4
2020-03-12,26.558333333333326,,20.0,,KT4
2020-03-13,37.34166666666667,,22.291666666666668,,KT4
2020-03-14,27.225000000000005,,19.125,,KT4
2020-03-15,24.65416666666667,,13.333333333333334,,KT4
2020-03-16,48.73333333333333,,24.041666666666668,,KT4
2020-03-17,31.75,,24.041666666666668,,KT4
2020-03-18,25.333333333333332,,23.583333333333332,,KT4
2020-03-19,32.3625,,20.125,,KT4
2020-03-20,20.283333333333335,,15.75,,KT4
