NO2,O3,PM10,PM25,date,site_code
13.895833333333334,66.13333333333334,19.037499999999998,,2020-03-31,BQ7
22.900000000000002,50.862500000000004,16.337500000000002,,2020-04-01,BQ7
17.0625,59.85833333333335,12.441666666666668,,2020-04-02,BQ7
17.90416666666667,59.40833333333334,16.233333333333334,,2020-04-03,BQ7
16.695833333333333,53.137499999999996,16.879166666666666,,2020-04-04,BQ7
10.741666666666667,75.325,17.129166666666666,,2020-04-05,BQ7
14.604166666666666,68.65416666666667,12.987500000000002,,2020-04-06,BQ7
34.37916666666667,43.979166666666664,27.025000000000002,,2020-04-07,BQ7
32.079166666666666,55.21666666666666,50.912499999999994,,2020-04-08,BQ7
34.758333333333326,49.57083333333333,53.27083333333332,,2020-04-09,BQ7
30.091666666666665,52.85833333333335,45.61249999999999,,2020-04-10,BQ7
30.879166666666674,40.75833333333333,33.49166666666667,,2020-04-11,BQ7
12.920833333333334,78.175,24.09166666666667,,2020-04-12,BQ7
8.479166666666668,73.82916666666665,18.3,,2020-04-13,BQ7
12.345833333333333,76.49166666666666,16.65416666666667,,2020-04-14,BQ7
26.866666666666664,56.87083333333333,33.02083333333333,,2020-04-15,BQ7
32.00000000000001,50.133333333333326,49.96666666666667,,2020-04-16,BQ7
9.766666666666667,72.2,24.054166666666664,,2020-04-17,BQ7
15.649999999999999,54.900000000000006,23.875000000000004,,2020-04-18,BQ7
,,11.208333333333334,,2020-02-01,BQ8
,,13.99130434782609,,2020-02-02,BQ8
,,12.937500000000002,,2020-02-03,BQ8
,,11.420833333333333,,2020-02-04,BQ8
,,21.145833333333336,,2020-02-05,BQ8
,,23.083333333333332,,2020-02-06,BQ8
,,29.262500000000006,,2020-02-07,BQ8
,,13.358333333333336,,2020-02-08,BQ8
,,9.412500000000001,,2020-02-09,BQ8
,,8.212499999999999,,2020-02-10,BQ8
,,9.833333333333332,,2020-02-11,BQ8
,,11.77083333333333,,2020-02-12,BQ8
,,5.527272727272727,,2020-02-13,BQ8
,,14.720833333333337,,2020-02-14,BQ8
,,3.516666666666667,,2020-02-15,BQ8
,,2.6956521739130435,,2020-02-16,BQ8
,,11.362499999999999,,2020-02-17,BQ8
,,8.383333333333335,,2020-02-18,BQ8
,,10.295833333333333,,2020-02-19,BQ8
,,4.679166666666667,,2020-02-20,BQ8
,,14.512500000000003,,2020-02-21,BQ8
,,13.104166666666666,,2020-02-22,BQ8
,,3.008695652173913,,2020-02-23,BQ8
,,3.3333333333333335,,2020-02-24,BQ8
,,5.05,,2020-02-25,BQ8
,,6.745833333333334,,2020-02-26,BQ8
,,,,2020-02-27,BQ8
,,7.583333333333333,,2020-02-28,BQ8
